about_us; "About Us"
only_following_roles_allowed; "Only following roles allowed: Parent, Parent&Student, Student/Player (Adult)"
other_comments; "Other comments"
our_school; "Our school"
out_of_seats_available; "Out of seats available. Please increase scheduled lesson seats and try again."

pages; "Pages"
paid; "Paid"
parent; "Parent"
parent_adult_registration; "Parent/Adult Registration"
parent_adult; "Parent/Adult"
parent_account; "Parent Account"
parent_email; "Parent Email"
parent_phone; "Parent Phone"
parent_last_name; "Parent Last Name"
parent_first_name; "Parent First Name"
parent_last_name_label; "Parent Last Name (empty for adult student)"
parent_first_name_label; "Parent First Name (empty for adult student)"
parent_date_of_birth_format_label; "Parent Date of Birth, YYYY-MM-DD (empty for adult student)"
parents_name; "Parent's name"
parent_name; "Parent Name"
parent_teacher_conference_meeting_slip; "Parent-Teacher Conference Meeting Slip"
partner; "Partner"
partially_bought; "Partially Bought"
partially_bought_interval; "Partially Bought Interval"
pass_rate_0_100; "Pass Rate (0-100)"
pass_rate; "Pass Rate"
pass_test; "Pass Test"
passed; "Passed"
password; "Password"
past_tournaments; "Past Tournaments"
past_tournaments_from_date; "Past Tournaments From Date"
past_tournaments_to_date; "Past Tournaments To Date"
pay; "Pay"
pay_via_paypal; "Pay Via PayPal"
pay_with_credit_cart; "Pay With Credit Card"
payment; "Payment"
payment_item_added_to_basket; "Payment Item added to basket"
payment_item_already_added_to_basket; "Payment Item already added to basket"
payment_item_added_to_tournament; "Payment Item added to Tournament"
payment_item_already_added_to_tournament; "Payment Item already added to Tournament"
payment_item_cancelled_money_returned; "Payment item cancelled and money returned"
payment_item_has_been_deleted_from_tournament; "Payment Item has been deleted from Tournament"
payment_item; "Payment Item"
payment_item_type; "Payment Item Type"
payment_item_types; "Payment Item Types"
payment_items; "Payment Items"
payment_option; "Payment Option"
payment_options; "Payment Options"
payment_report_log; "Payment Report Log"
payment_terminal; "Payment Terminal"
payment_type_not_selected; "Payment type not selected."
payments; "Payments"
payments_report; "Payments report"
paypal; "PayPal"
paypal_api_url; "PayPal API Url"
paypal_api_user_name; "PayPal API User Name"
paypal_api_password; "PayPal API Password"
paypal_api_signature; "PayPal API Signature"
paypal_link; "PayPal Link"
paypal_currency_code; "PayPal Currency Code"
paypal_account_email; "PayPal Account Email"
per_page; "Per page"
per_student; "per student"
percents; "Percents"
period; "Period"
performance; "Performance"
performance_indicator; "Performance Indicator"
performance_indicators; "Performance Indicators"
phone; "Phone"
players; "Players"
players_name; "Player's name"
player; "Player"
player_marked_as_deleted; "Player Marked As Deleted"
player_unmarked_as_deleted; "Player Unmarked As Deleted"
player_marked_as_hidden; "Player Marked As Hidden"
player_unmarked_as_hidden; "Player Unmarked As Hidden"
player_updated; "Player has been updated"
player_with_code_cma_already_registered_to_tournament; "Player with this code CMA already registered to Tournament"
player_with_code_cfc_already_registered_to_tournament; "Player with this code CFC already registered to Tournament"
player_registered_to_tournament; "Player registered to Tournament"
play; "Play"
play_vs_computer; "Play vs Computer"
please_add_payment_items_for_tournament_and_try_again; "Please add payment items for tournament and try again."
please_login_or_create_account; "Please login or create account"
please_confirm_the_cancellation_of_s; "Please confirm the cancellation of \"%s\""
please_check_currency_xml_settings; "Please check currency xml settings"
please_choose_parent_s; "Please choose Parent: %s"
please_make_payment_to_complete_registration_in_tournament; "Please make the payment in order to complete the registration for tournament."
please_make_payment_to_complete_registration_in_tournaments; "Please make the payment in order to complete the registration for tournaments."
please_select; "Please Select"
please_select_coach_first; "Please Select Coach First"
please_select_computer_player; "Please select Computer player"
please_select_group; "Please Select Group"
please_select_lessons; "Please Select Lessons"
please_select_active_payment_item; "Please select active payment item"
please_select_student; "Please Select Student"
please_select_student_and_repeat_registration_to_this_tournament; "Please, select a student and repeat the registration to this tournament."
please_submit_homework_for_all_lessons_or_cancel_lessons; "Please submit all homework for lessons or cancel lessons"
please_update_browser_msie; "You are using an old version of browser Internet explorer. Please, update your browser to a new version."
please_fill_all_fields; "Please fill all fields."
please_fill_all_code_cma_fields; "Please fill all Code CMA fields."
please_fill_all_grade_fields; "Please fill all grade fields. Use EDIT action to set up grade for player."
please_finish_all_rounds_to_finish_tournament; "Please finish all rounds to finish the tournament"
please_enter_results_for_all_pair; "Please, enter results for all pairs"
please_enter_results_for_all_pair_in_group; "Please, enter results for all pairs in group"
previous; "Previous"
previous_experience; "Previous experience"
previous_experience_label; "Previous experience (chess schools, clubs, programs, tournament experience, rating etc.)"
preferred_location_for_assessment; "Preferred location for assessment"
ply_count; "Play count"
position; "Position"
position_s_s_s; "Lesson: '%s', Position ID: %s (Position %s)"
position_to_play; "Position to play"
position_status_completed; "Completed"
position_status_open; "Open"
positions_for_s; "Positions for %s"
positions_to_play_for_s; "Positions To Play for %s"
positions_to_play_tries_count; "Positions to play: Tries count"
positions_to_play_tries_percent; "Positions to play: Tries percent"
positions_to_play; "Positions to play"
positions_to_play_s; "Positions to play (%s)"
positions_to_play_uncompleted_s; "Positions to play (<span id='uncompleted-positions-to-play'>%s</span>)"
positions_tries_count; "Positions: Tries count"
positions_tries_percent; "Positions: Tries percent"
positions; "Positions"
positions_s; "Positions (%s)"
positions_uncompleted_s; "Positions (<span id='uncompleted-positions'>%s</span>)"
position_in_order; "Position in Order"
position_in_heading; "Position In Heading"
postal_code; "Postal Code"
preferences; "Preferences"
pre_registration; "Pre-registration"
presentation; "Presentation"
presentation_file_pdf; "Presentation file (*.pdf)"
price; "Price"
price_saved_successfully; "Price saved successfully."
print; "Print"
prizes; "Prizes"
private; "Private"
processed; "Processed"
problem_reported; "Problem successfully reported"
program; "Program"
program_does_not_contain_lesson; "The program does not contain the lessons."
program_lessons_count; "Program lessons count"
program_payment; "Program Payment"
program_start; "Program Start"
programs; "Programs"
programs_progress; "Programs in progress"
progress; "Progress"
protected; "Protected"
province; "Province"
public_date_format; "Public Date (YYYY-MM-DD)"
public_date; "Public Date"

question; "Question"
question_updated; "Question updated"
questions; "Questions"
questions_s; "Questions (%s)"
quick_test; "Quick Test"
quick_test_by_template; "Quick Test by Template"
quad; "Quad"
quad_capacity; "Quad Capacity"
quads; "Quads"

rate; "Rate"
rates; "Rates"
rates_s; "%s Rates"
rated; "Rated"
rating; "Rating"
rating_cfc; "Rating CFC"
rating_fide; "Rating FIDE"
rating_cma; "Rating CMA"
rating_type; "Rating Type"
rating_progress; "Rating Progress"
rating_on_s_from; "Rating on %s from"
rating_on_s_to; "Rating on %s to"
real_lesson; "Real Lesson"
receipt; "Receipt"
results_for_tournament_s; "Results for tournament %s"
refund_policy; "Refund Policy"
refund_to_balance; "Refund to the balance"
register; "Register"
registration; "Registration"
registration_for_several_events; "Registration for several events"
register_into_group_impossible; "Register into %group% impossible. Please contact your administrator.";
register_student_for_tournament; "Register Student for Tournament"
register_guest_for_tournament; "Register Guest for Tournament"
registration_unique_email_error; "email should be unique for each student"
registration_is_complete; "Thank you. Registration completed. Receipt has been sent to your email."
registration_completed; "Registration completed."
regroup_players_s; "Regroup players for tournament %s"
regular_tournaments; "Regular Tournaments"
reconfirm_players_s; "Reconfirm players for tournament %s"
reject; "Reject"
related_video_lesson; "Related Video Lesson"
remember_me; "Remember Me"
remove; "Remove"
remove_answer; "Remove Answer"
remove_bye_for_current_round; "Remove BYE for current round"
remove_homework; "Remove Homework"
remove_student; "Remove Student"
report; "Report"
reports; "Reports"
report_problem; "Report Problem"
report_a_problem; "Report a problem"
report_a_problem_email; "Report a Problem Email"
resend_certificate; "Resend Certificate"
reset; "Reset"
reset_filter; "Reset filter"
reset_warning; "Reset warning"
resources; "Resources"
restart; "Restart"
restart_confirmation; "After restarting tournament, all tournament data/results will be deleted. You sure you want to restart the tournament?"
restart_tournament; "Restart Tournament"
restore_password_message_was_sent; "Restore password message was sent"
restore_password; "Restore password"
restore_password_wrong_key; "Restore password key is wrong"
result; "Result"
results; "Results"
return_to_balance; "Return to balance"
retry_fen; "Retry FEN"
rendering_services; "Rendering services"
revert; "Revert"
role; "Role"
role_access_updated; "Role access updated"
roles; "Roles"
roll_back; "Roll Back"
roll_back_to; "Roll Back to"
roll_back_to_previous_round; "Roll Back to Previous Round"
round_times; "Round Times"
round_groups; "Round Groups"
round_group_s; "Round Group %s"
round; "Round"
rounds; "Rounds"
round_s; "Round %s"
rd_s; "Rd %s"

branch; "Branch"
branch_manager; "Branch Manager"
branch_manager_has_been_blocked; "Branch Manager has been blocked"
branch_manager_has_been_activated; "Branch Manager has been activated"
branch_managers; "Branch Managers"
brief_information; "Brief information"
coach_already_added_to_this_scheduled_lesson; "Coach already added to this scheduled lesson"
coach_biography; "Coach's biography"
coach_levels; "Coach's levels"
coach_sum; "Coach Sum"
teams; "Teams"
teams_saved; "Teams Temporarily Saved"
teams_submited; "Teams Submited"
team_name; "Team Name"
team_mission; "Team Mission"
team_logo; "Team Logo"
team_logo_delete; "Delete Team Logo"
team_forming; "Team Forming"
teachers_levels; "Teaches Levels"
template; "Template"
term_and_conditions; "Term and Conditions"
this_lesson_contains_class_materials; "This lesson contains class material."
this_lesson_contains_class_materials_please_contact_administrator; "This lesson contains class material; please contact the administrator to reschedule it."
time_controls; "Time controls"
time_of_the_meeting; "Time of the Meeting"
to_date; "To Date"
to_date_is_earlier_than_from_date; "'To Date' is earlier than 'From Date'"
to_time; "To Time"
to_time_of_the_meeting; "To Time of the Meeting"
to_purchase_private_lessons_you_should_have_students_in_groups; "To purchase private lessons you should be enrolled in group classes at our school."
tournament_director; "Tournament Director"
tournament_history; "Tournament History"
tournament_or_user_not_found; "Tournament or user not found."
tournament_payment_item_not_found; "Tournament payment item not found."
tournament__s; "Tournament: %s"
tournament_s; "Tournament %s"
tournament_s_registration; "Tournament %s Student Registration"
tournament_s_batch_print; "Tournament %s Batch Print"
tournament_s_player_registration; "Tournament %s Player Registration"
tournament_s_guest_registration; "Tournament %s Guest Registration"
tournament_s_arbiters; "Tournament %s Arbiters"
tournament_has_been_excluded_from_reports; "Tournament has been excluded from reports"
tournament_has_been_included_into_reports; "Tournament has been included into reports"
tournament_has_been_restarted; "Tournament has been restarted"
tournament_name; "Tournament Name"
tournaments_quantity; "Tournaments Quantity"
tournaments_price; "Tournaments Price"
tie_break; "Tie Break"
tie_breaks; "Tie Breaks"
tie_break_head_to_head; "Head to head"
tie_break_cumulative; "Cumulative"
tie_break_cumulative_opponents; "Cumulative opponent's score"
tie_break_no; "No Tie Break"
tie_break_h; "TBrk[H]"
tie_break_c; "TBrk[C]"
tie_break_o; "TBrk[O]"

s_group_lessons; "%s lessons"
s_transactions; "%s transactions"
s_payment_items; "%s Payment Items"
s_hour; "%s hour"
s_hours; "%s hours"
saturday; "Saturday"
save_description; "Save Description"
save_price; "Save Price"
save_lesson; "Save lesson"
save; "Save"
schedule; "Schedule"
schedule_day_start_hour; "Schedule Day Start Hour"
schedule_day_end_hour; "Schedule Day End Hour"
schedule_tournament_day_start_hour; "Schedule Tournament Day Start Hour"
schedule_tournament_day_end_hour; "Schedule Tournament Day End Hour"
schedule_minute_interval; "Schedule Minute Interval"
scheduled_lesson; "Scheduled Lesson"
school; "School"
school_postal_code; "School Postal Code (first 3 letters)"
school_city; "City of School"
school_state; "Province of School"
school_label; "School (empty for adult student)"
score; "Score"
sd; "SD"
search_by_name_or_cfc_id; "Search by name or CFC ID..."
search_by_name_or_cma_id; "Search by name or CMA ID..."
seats_available; "Seats Available"
seats_quantity; "Seats Quantity"
seats_qty; "Seats Available/Full Capacity"
sections; "Sections"
section; "Section"
select; "Select"
selected; "Selected"
selected_groups; "Selected Groups"
select_file; "Select file"
self; "Self"
send; "Send"
send_certificate; "Send Certificate"
september; "September"
certificates_successfully_added_to_queue_will_sent; "Certificates successfully added to queue and will be sent in nearest time."
serve_out_home_exercises; "Serve out home exercises"
set_active; "Set Active"
set_filter; "Set filter"
set_not_test; "Set Not Test"
set_not_required; "Set Not Required"
set_not_homework; "Set Not Homework"
set_test; "Set Test"
set_required; "Set Required"
set_homework; "Set Homework"
settings_updated; "Settings updated"
settings_to_private_lessons_successfully_saved; "Settings to private lessons successfully saved."
settings; "Settings"
short_description; "Short Description"
show; "Show"
show_group_lessons; "Show Group Lessons"
show_intervals; "Show intervals"
show_bought_lessons; "Show bought lessons"
show_monthly_closing_transactions; "Show Monthly Closing Transactions"
show_total_sum; "Show Total Sum"
show_only_blank_students_lessons; "Show Lessons With Blank Students Only"
show_all_scheduled_lessons; "Show All Scheduled Lessons"
show_pdf; "Show PDF"
show_results; "Show Results"
sign_in; "Sign In"
sign_up; "Sign Up"
site; "Site"
skill; "Skill"
skip; "Skip"
skip_reconfirmation; "Skip players reconfirmation"
skipped; "Skipped"
slider_items; "Slider Items"
slider_pause_time; "Slider: Pause time (sec.)"
slider_type; "Slider Type"
slider; "Slider"
slug; "SLUG"
sn; "SN"
spent_time; "Spent Time"
st; "ST"
start; "Start"
start_date; "Start Date"
start_recording; "Start recording"
start_time; "Start time"
start_with_empty_board; "Start with empty board"
start_with_standard_placement; "Start with standard placement"
started_at; "Started At"
start_new_tournament; "Start New Tournament"
start_tournament; "Start Tournament"
stars; "Stars"
state; "Province/ State"
static_files; "Static Files"
static_files_directory_is_empty; "Static files directory is empty."
status; "Status"
stop; "Stop"
student_/_program; "Student/Program"
student_account; "Student Account"
student_already_registered_to_tournament; "Student already registered to Tournament"
student_registered_to_tournament; "Student registered to Tournament"
student_added; "Student added successfully"
student_already_added_to_lesson; "Student already added to the lesson"
student_leave_group_success; "Student successfully leave the group"
student_leave_group_and_team_success; "Student successfully leave the group and the team"
student_successfully_added; "Student successfully added"
student; "Student"
student_unregistered_from_tournament; "Student unregistered from Tournament"
students_count; "Students Count"
students_data_updated; "Student's data updated"
students_data_added; "Student's data added"
students_price; "Students Price"
students_name; "Student's name"
student_name; "Student Name"
student_can_not_added; "Because you are signed in as a student, you can't add students"
student_must_be_younger_s; "Student must be younger %s years"
student_must_be_older_s; "Student must be over %s years"
student_registration; "Student Registration"
submit_homework; "Submit Homework"
swap_anyway; "Swap Anyway"
swap_players; "Swap Players"
swiss; "Swiss"
swiss_groups; "Swiss Groups"
swiss_group; "Swiss Group"
swiss_group_s; "Swiss Group %s"
system_was_unable_to_match_players; "System was unable to match players, you can finish tournament (finish button) or retry to match players (next round button)"
parent_must_be_younger_s; "Parent must be younger %s years"
parent_must_be_older_s; "Parent must be over %s years"
payment_method; "Payment Method"
paused; "Paused"
price_must_be_positive; "Price must be positive"
private_classes; "Private Classes"
private_classes_rate; "Private Classes Rate"
private_lesson; "Private lesson"
private_lesson_bought; "Private Lesson is Bought"
private_lesson_deleted; "Private lesson has been deleted"
private_lesson_s; "Private Lesson %s"
private_lesson_successfully_added; "Private lesson successfully added"
private_lesson_positions; "Private lesson positions"
private_lesson_positions_to_play; "Private lesson positions to play"
private_lesson_price_calculation_error; "When calculating the cost of the lesson was an error. Please contact your administrator."
private_lesson_canceled_successfully; "Private lesson canceled successfully"
private_lesson_games; "Private lesson games"
private_lesson_famous_games; "Private lesson famous games"
private_lesson_class_materials; "Private lessons class materials"
private_lesson_successfully_added_to_the_basket; "Private lesson successfully added to the basket."
private_lesson_successfully_saved; "Private lesson successfully saved"
private_lessons; "Private Lessons"
private_lessons_report; "Private Lessons Report"
private_lessons_settings; "Private lessons settings"
students; "Students"
student_rating; "Student Rating"
submit; "Submit"
success; "Success"
sunday; "Sunday"
system; "System"
student_must_be_older_s_register_as_parent_and_add_student; "Student must be over %s years old, otherwise register as a parent and add your child as a student."
street; "Street"
tactic_database; "Tactic Database"
tactical_motif; "Tactical Motif"
tactical_motifs; "Tactical Motifs"
tactics; "Tactics"
take_homework; "Take homework"
take_homework_confirmation; "After taking the Homework Material you won’t be able to make up this missing class."
take_s_test; "Take %s program test"
tax_number; "Tax Number"
teaches_levels; "Teaches Levels"
test; "Test"
test_generation; "Test Generation"
test_group_by_template; "Test Group by Template"
test_report; "Test Report"
test_positions_to_play; "Test Positions to play"
test_positions; "Test Positions"
test_questions_for_s; "Test Questions for %s"
test_question_has_been_marked_as_not_required; "Test question has been marked as Not Required"
test_question_has_been_marked_as_required; "Test question has been marked as Required"
test_position_to_play_has_been_marked_as_not_required; "Test position to play has been marked as Not Required"
test_position_to_play_has_been_marked_as_required; "Test position to play has been marked as Required"
test_position_has_been_marked_as_not_required; "Test position has been marked as Not Required"
test_position_has_been_marked_as_required; "Test position has been marked as Required"
test_position_has_been_deleted; "Test position has been deleted"
test_position_to_play_has_been_deleted; "Test position to play has been deleted"
test_pass_rate_percents; "Test pass rate (% percents)"
test_lessons; "Test Lessons"
test_items_count; "Test items count"
test_repass_time_hours; "Test Repass time (hours)"
test_result; "Test Result"
test_settings; "Test Settings"
test_successfully_reseted; "Test successfully reseted"
test_successfully_deleted; "Test successfully deleted"
test_templates; "Test Templates"
test_weight_pos; "Test weight Position"
test_weight_pos_to_play; "Test weight Position to play"
test_weight_question; "Test weight MC Question"
tests; "Tests"
tests_successfully_added; "Tests successfully added"
testimonials; "Testimonials"
the_class_is_full; "The class is full."
the_password_you_entered_does_not_match; "The password you entered does not match"
the_same_black_user; "The same black user"
the_tournament_cannot_be_canceled; "The tournament cannot be canceled"
theme; "Theme"
themes; "Themes"
thursday; "Thursday"
time_control; "Time control"
time_limit_sec; "Time limit (sec.)"
time; "Time"
time_range; "Time range"
time_range_invalid; "Invalid time range"
time_sale_start; "Time to Sale Start"
the_time_range_must_be_less_than_s_and_greater_than_s; "The time range must be less than %s and greater than %s minutes"
time_range_can_not_be_empty; "Time range can not be empty"
title_theme_heading; "Title (Theme/Heading)"
title; "Title"
today_currency_is_s; "Today currency is %s"
total_balance; "Total Balance"
total_price_can_not_be_zero; "The total price can not be zero."
total_hours; "Total Hours"
total_sum; "Total Sum"
total; "Total"
tournament; "Tournament"
tournament_s_sections; "Tournament %s Sections"
tournament_s_payment_items; "Tournament %s Payment Items"
tournament_s_students; "Tournament %s Students"
tournament_added_to_basket; "Tournament added to basket"
tournament_already_added_to_basket; "Tournament already added to basket"
tournament; "Tournament"
tournament_s; "Tournament %s"
tournament_director; "Tournament Director"
tournaments; "Tournaments"
tms; "TMS"
tournament_management_system; "Tournament Management System"
training_mode; "Training mode"
transfer; "Transfer"
transfer_date; "Transfer date"
transferred; "Transferred"
transfer_confirm_title; "You sure want transfer the user into new group?"
transfer_confirm_message; "During transfer user into new group, will be removed all planned lessons for user and will be added lessons for new group."
transfer_error_group_is_full; "Transfer error: Group %groupName% is full."
transfer_user_into_group; "Transfer user into group"
transaction_has_been_added; "Transaction has been added"
transaction_method; "Transaction Method"
transactions_editable_from; "Transaction Editable From"
transactions_history; "Transactions History"
transactions_report; "Transactions Report"
tree_lesson_count; "Tree Lesson Count"
tries; "Tries"
tries_count; "Tries Count"
tries_percent; "Tries Percent"
try_again_later; "Try Again Later"
tuesday; "Tuesday"
turn_count; "Turn Count"
type; "Type"

up; "Up"
upcoming_lessons; "Upcoming lessons"
upcoming_tournaments; "Upcoming Tournaments"
upcoming_tournaments_from_date; "Upcoming Tournaments From Date"
upcoming_tournaments_to_date; "Upcoming Tournaments To Date"
upload; "Upload"
upload_file; "Upload file"
use_balance; "Use Balance"
user; "User"
username; "User name"
users; "Users"
user_already_paid_payment_item; "User already paid this payment item."
user_didnt_paid_payment_item; "User didn't paid this payment item."
user_s_already_purchased_private_lesson; "%s has already purchased this private lesson."
user_with_this_email_already_registered; "User with this email already registered"
user_group_students_list; "User's group students list"
user_balance_less_then_s; "User balance less then $ %value%."
user_capable_year; "User Capable Year"
user_has_been_activated; "User Has Been Activated"
user_has_been_blocked; "User Has Been Blocked"
user_successfully_transfer_to_group; "User %userFirstName% %userLastName% successfully transfer into group %groupName%."
user_not_found; "User not found"
user_must_be_older_s; "User must be over %s years"
users_list; "Users list"
users_tests; "Users Tests"
user_type; "User Type"
unfinished_homework; "Unfinished homework"
undelete; "Undelete"
undelete_player; "Undelete player"
unmark_as_deleted; "Unmark as Deleted"
unknown_field; "Unknown field"
unlock; "Unlock"
unlocked; "Unlocked"

value; "Value"
value_should_be_in_range_0_10; "Value should be in range 0-10"
value_0_10; "Value (0-10)"
verification_code; "Verification Code"
victory_condition; "Victory condition"
video_file_flv; "Video file (*.flv)"
video_file; "Video file"
video_is_not_available; "Video Is Not Available"
video_lesson_added_to_basket; "Video lesson added to basket"
video_lesson_already_added_to_basket; "Video lesson already added to basket"
video_lesson; "Video Lesson"
video_lessons; "Video Lessons"
video_title; "Video title"
video_type_lesson; "Video Type Lesson"
video; "Video"
view_famous_game; "View Famous Game"
view_game; "View Game"
view_class_game; "View Class Game"
view_class_game_s; "View Class Game: %s"
view_game_vs_computer; "View Game Vs Computer"
view_game_vs_computer_s; "View Game Vs Computer %s"
view_position; "View position"
view_position_s_s; "View position %s (Position %s)"
view_presentation; "View Presentation"
view_program; "View Program"
view; "View"
visa; "Visa"

waiting_list; "Waiting List"
waiting_list_location; "Waiting List Location"
wednesday; "Wednesday"
well_done; "Well Done!"
working_hours; "Working Hours"
workshop; "Workshop"
workshops; "Workshops"
workshop_materials; "Workshop Materials"
would_you_like_to_withdraw_this_player_from_tournament; "Would you like to withdraw this player from the tournament? (with 0 point BYE)"
would_you_like_to_undelete_this_player; "Would you like to undelete this player?"
what_is_this; "What is this?"
white_possible_long_castling; "White possible long castling"
white_possible_short_castling; "White possible short castling"
white_user; "White User"
white; "White"
why_chess; "Why Chess?"
win; "Win"
winner; "Winner"
without_groups; "Without Groups"
withdraw; "Withdraw"
withdrawn; "Withdrawn"
withdraw_from_balance_of_s; "Withdraw from balance of ""%s"""
withdraw_player_from_tournament; "Withdraw player from the tournament. (with 0 point bye)"
with_payment; "With payment"
yes; "Yes"
year; "Year"
you_alredy_registered_to_this_tournament; "You already registered to this tournament"
you_already_registered_to_this_tournament; "You already registered to this tournament"
you_already_purchased_this_item; "You already purchased this item"
you_already_join_group; "You've already joined the %group%"
you_are_in_group_error; "You are in the group %group%. You are trying to add a module is not for own group, to change the group, contact your administrator."
you_can_not_join_group_full; "You can not join group. Group is full"
you_cant_play_more_please_finish_your_homework; "You can't play more. Please finish your homework."
you_do_not_registered_to_this_tournament; "You don't registered to this tournament."
you_failed_the_test; "Good Try! But you can do better. Review your lessons, then contact your coach to reset the test, and try again."
you_have_group_lessons_in_this_day_or_time; "You have group lessons in this day or time."
you_join_group_success; "You have successfully joined the group"
you_leave_group_success; "You successfully leave group"
you_must_continue; "You must continue or the test will be terminated."
you_pass_test_failure_try_again_later; "You haven't pass test. Please try again later."
you_pass_test_success; "You successfully passed test"
you_really_want_make_payment; "Please confirm your purchase"
you_really_want_delete_item; "Do you want to delete item from the basket"
you_should_select_at_least_one_tournament; "You should select at least one tournament."
you_should_add_at_least_one_right_answer; "You should add at least one right answer."
you_should_add_one_student_or_change_role_to_student; "You should add at least one student or change role to Student"
you_successfully_canceled_your_private_lesson; "You’ve successfully canceled your private lesson."
you_successfully_canceled_your_registration_in_tournament; "You’ve successfully canceled your registration for tournament"
you_successfully_passed_test; "You successfully passed the test."
you_successfully_signup_programs; "You successfully signup to receive programs details"
you_successfully_registered; "You successfully registered"
you_successfully_sent_assessment_request; "You successfully sent the assessment request"
you_successfully_sent_waiting_list_request; "You successfully sent the waiting list request"
you_want_cancel_bought_lesson; "Do you want to cancel this bought lesson"
you_were_registered_as_student; "You are registered as a student"
your_email_has_been_confirmed; "Your email has been confirmed"
your_password_has_been_changed; "Your password has been changed"
student_role_desc; "If you are a student (18 years or older), choose this option and input your own personal data below.
                   You won’t be able to add other students to your account."

parent_role_desc; "If you are a parent, who will be booking and paying for your child’s classes, please fill in your own personal data in this form.
                  Then input your child's personal data below and press “Register” to create a new account.
                  If you register more than one child, please press “Add student” and complete the new form. Then press “Register” to sign in."

full_role_desc; "If you are a parent, who will be booking and paying for your own classes and your child’s classes, choose this option and input your personal data below.
                You will be able to add your child as a student and input his/her personal data after you complete your registration. Confirm your registration and sign in. Then, press the ‘add student’ button in the top-right corner of your profile.
                Choose your child by pressing the “students” button in the top-right corner of your profile and Set him/her “active” in order to purchase classes for him/her."
zip_code; "Zip Code"
